Frequency (GHz),Theta (°),Phi (°),Gain phi,Gain theta
0.02,4.99999985,185.000004,1.05314541,0.00820630509
0.02,4.99999985,190.000003,1.02901459,0.0321650393
0.02,4.99999985,195.000002,0.989741087,0.0711495504
0.02,4.99999985,200.000001,0.936518669,0.12397515
0.02,4.99999985,205,0.870964885,0.189036518
0.02,4.99999985,209.999999,0.795072079,0.264356583
0.02,4.99999985,214.999998,0.71114701,0.347646266
0.02,4.99999985,219.999997,0.621739984,0.436374992
0.02,4.99999985,224.999996,0.529567778,0.527846634
0.02,4.99999985,230.000009,0.437430888,0.619282246
0.02,4.99999985,235.000008,0.348129243,0.707903445
0.02,4.99999985,240.000007,0.264375627,0.791018307
0.02,4.99999985,245.000006,0.188714251,0.866102219
0.02,4.99999985,250.000005,0.123443656,0.930874228
0.02,4.99999985,255.000004,0.070546262,0.983367324
0.02,4.99999985,260.000003,0.0316288061,1.02198696
0.02,4.99999985,265.000002,0.0078732986,1.04556048
0.02,4.99999985,270.000001,1.21807284e-06,1.05337131
0.02,4.99999985,275,0.00825163163,1.04518294
0.02,4.99999985,279.999999,0.0323739462,1.02124381
0.02,4.99999985,284.999998,0.071635507,0.982280791
0.02,4.99999985,289.999997,0.124843821,0.929477632
0.02,4.99999985,294.999996,0.190382734,0.864437938
0.02,4.99999985,299.999995,0.266261518,0.789136887
0.02,4.99999985,304.999994,0.350175083,0.705862045
0.02,4.99999985,309.999993,0.43957442,0.617142797
0.02,4.99999985,314.999992,0.531743407,0.525674403
0.02,4.99999985,319.999991,0.623881519,0.434235901
0.02,4.99999985,324.99999,0.713189363,0.345605195
0.02,4.99999985,329.999989,0.796952844,0.262475461
0.02,4.99999985,334.999988,0.872626603,0.18737261
0.02,4.99999985,339.999987,0.937910557,0.122578956
0.02,4.99999985,345.000013,0.990821123,0.0700632036
0.02,4.99999985,350.000012,1.02974939,0.0314218476
0.02,4.99999985,355.000011,1.05351186,0.0078288177
0.02,4.99999985,360.00001,1.06138682,9.65812433e-07
0.02,9.99999971,0,1.06131291,7.91748732e-07
0.02,9.99999971,4.99999985,1.05305982,0.00797553174
0.02,9.99999971,9.99999971,1.0289253,0.0313462839
0.02,9.99999971,15.0000004,0.989643514,0.0694012642
0.02,9.99999971,19.9999994,0.936410129,0.120981887
0.02,9.99999971,25.0000001,0.870844424,0.184518322
0.02,9.99999971,30.0000008,0.794941008,0.258077204
0.02,9.99999971,34.9999998,0.711008489,0.339420855
0.02,9.99999971,39.9999988,0.621598601,0.42607531
0.02,9.99999971,45.0000013,0.529429376,0.515406251
0.02,9.99999971,50.0000003,0.437301755,0.60469842
0.02,9.99999971,54.9999993,0.348014653,0.691238582
0.02,9.99999971,60.0000017,0.264279842,0.772397816
0.02,9.99999971,65.0000007,0.188640118,0.845711648
0.02,9.99999971,69.9999997,0.123391584,0.908954203
0.02,9.99999971,74.9999987,0.0705145448,0.960205674
0.02,9.99999971,79.9999977,0.0316135883,0.997910857
0.02,9.99999971,84.9999967,0.0078690052,1.02092528
0.02,9.99999971,90.0000025,1.18197613e-06,1.0285511
0.02,9.99999971,95.0000015,0.00824883487,1.02055669
0.02,9.99999971,100.000001,0.0323617682,0.997184336
0.02,9.99999971,105,0.0716084614,0.959143877
0.02,9.99999971,109.999999,0.124798171,0.907589197
0.02,9.99999971,115.000004,0.190316975,0.844084859
0.02,9.99999971,120.000003,0.266176254,0.770558536
0.02,9.99999971,125.000002,0.350073129,0.689242542
0.02,9.99999971,130.000001,0.439460278,0.602606654
0.02,9.99999971,135,0.531622767,0.51328212
0.02,9.99999971,139.999999,0.6237607,0.423983425
0.02,9.99999971,144.999998,0.71307385,0.337424576
0.02,9.99999971,149.999997,0.796847641,0.256237417
0.02,9.99999971,154.999996,0.872534633,0.182890907
0.02,9.99999971,159.999995,0.937832952,0.119616359
0.02,9.99999971,164.999994,0.990756333,0.0683391243
0.02,9.99999971,169.999993,1.0296948,0.0306199212
0.02,9.99999971,175.000006,1.05346334,0.00760702416
0.02,9.99999971,180.000005,1.06133842,1.4947617e-06
0.02,9.99999971,185.000004,1.05308068,0.00803529192
0.02,9.99999971,190.000003,1.02894139,0.031464491
0.02,9.99999971,195.000002,0.989655316,0.0695766732
0.02,9.99999971,200.000001,0.936417937,0.121212639
0.02,9.99999971,205,0.870848894,0.184801966
0.02,9.99999971,209.999999,0.794942796,0.258410841
0.02,9.99999971,214.999998,0.71100831,0.339801192
0.02,9.99999971,219.999997,0.62159729,0.426498711
0.02,9.99999971,224.999996,0.529427707,0.515868783
0.02,9.99999971,230.000009,0.437300086,0.605196059
0.02,9.99999971,235.000008,0.348013639,0.691766918
0.02,9.99999971,240.000007,0.264279842,0.772952676
0.02,9.99999971,245.000006,0.188641116,0.846288681
0.02,9.99999971,250.000005,0.123393439,0.909549177
0.02,9.99999971,255.000004,0.0705168918,0.960814416
0.02,9.99999971,260.000003,0.0316159129,0.998529017
0.02,9.99999971,265.000002,0.00787063502,1.02154887
0.02,9.99999971,270.000001,1.3490104e-06,1.02917635
0.02,9.99999971,275,0.00824672729,1.02117956
0.02,9.99999971,279.999999,0.0323566161,0.997801006
0.02,9.99999971,284.999998,0.0715996101,0.959750056
0.02,9.99999971,289.999997,0.124785081,0.908180952
0.02,9.99999971,294.999996,0.190299183,0.844658315
0.02,9.99999971,299.999995,0.266153693,0.771109641
0.02,9.99999971,304.999994,0.350046009,0.689767182
0.02,9.99999971,309.999993,0.439428896,0.6031003
0.02,9.99999971,314.999992,0.53158772,0.513740897
0.02,9.99999971,319.999991,0.623722494,0.424403369
0.02,9.99999971,324.99999,0.713033855,0.337801784
0.02,9.99999971,329.999989,0.796806812,0.256568283
0.02,9.99999971,334.999988,0.872493982,0.183172092
0.02,9.99999971,339.999987,0.937793553,0.119845003
0.02,9.99999971,345.000013,0.990719676,0.0685124919
0.02,9.99999971,350.000012,1.02966106,0.03073637
0.02,9.99999971,355.000011,1.0534333,0.00766529376
0.02,9.99999971,360.00001,1.06131291,7.91748732e-07
0.02,15.0000004,0,1.06119609,6.26919245e-07
0.02,15.0000004,4.99999985,1.05294061,0.00765857939
0.02,15.0000004,9.99999971,1.028795,0.0301278066
0.02,15.0000004,15.0000004,0.989495456,0.0667223632
0.02,15.0000004,19.9999994,0.936240196,0.11632587
0.02,15.0000004,25.0000001,0.870651603,0.177425876
0.02,15.0000004,30.0000008,0.79472822,0.248160303
0.02,15.0000004,34.9999998,0.710781574,0.32637471
0.02,15.0000004,39.9999988,0.621366084,0.409688056
0.02,15.0000004,45.0000013,0.52920115,0.495565802
0.02,15.0000004,50.0000003,0.437088579,0.581396997
0.02,15.0000004,54.9999993,0.347825944,0.664574087
0.02,15.0000004,60.0000017,0.264123142,0.742571235
0.02,15.0000004,65.0000007,0.188519731,0.81302166
0.02,15.0000004,69.9999997,0.123308219,0.873788893
0.02,15.0000004,74.9999987,0.0704649761,0.923030615
0.02,15.0000004,79.9999977,0.031590987,0.95925492
0.02,15.0000004,84.9999967,0.00786359329,0.981364429
0.02,15.0000004,90.0000025,1.29485875e-06,0.988689661
0.02,15.0000004,95.0000015,0.00824217312,0.981008768
0.02,15.0000004,100.000001,0.032336738,0.958554208
0.02,15.0000004,105,0.0715554282,0.922006369
0.02,15.0000004,109.999999,0.1247105,0.872472167
0.02,15.0000004,115.000004,0.190191701,0.811452389
0.02,15.0000004,120.000003,0.266014338,0.740797102
0.02,15.0000004,125.000002,0.349879295,0.662648857
0.02,15.0000004,130.000001,0.439242333,0.579379261
0.02,15.0000004,135,0.531390488,0.493516654
0.02,15.0000004,139.999999,0.623524904,0.407669872
0.02,15.0000004,144.999998,0.712845147,0.324448824
0.02,15.0000004,149.999997,0.796634436,0.246385351
0.02,15.0000004,154.999996,0.872343302,0.175855801
0.02,15.0000004,159.999995,0.937666595,0.115008399
0.02,15.0000004,164.999994,0.990614057,0.0656976551
0.02,15.0000004,169.999993,1.02957261,0.0294271
0.02,15.0000004,175.000006,1.05335414,0.00730324816
0.02,15.0000004,180.000005,1.06123412,1.65588392e-06
0.02,15.0000004,185.000004,1.05297184,0.00774575677
0.02,15.0000004,190.000003,1.02881944,0.030300254
0.02,15.0000004,195.000002,0.989513695,0.0669782907
0.02,15.0000004,200.000001,0.936252654,0.116662607
0.02,15.0000004,205,0.870659471,0.17783989
0.02,15.0000004,209.999999,0.794731975,0.248647422
0.02,15.0000004,214.999998,0.710782468,0.326929897
0.02,15.0000004,219.999997,0.621365368,0.410306275
0.02,15.0000004,224.999996,0.529199839,0.496241093
0.02,15.0000004,230.000009,0.437087119,0.582123935
0.02,15.0000004,235.000008,0.347825348,0.665345848
0.02,15.0000004,240.000007,0.264123857,0.743381739
0.02,15.0000004,245.000006,0.188521788,0.813864648
0.02,15.0000004,250.000005,0.123311348,0.874658108
0.02,15.0000004,255.000004,0.0704687014,0.923920095
0.02,15.0000004,260.000003,0.0315945409,0.960158527
0.02,15.0000004,265.000002,0.00786603056,0.982276201
0.02,15.0000004,270.000001,1.53187693e-06,0.989603639
0.02,15.0000004,275,0.00823906437,0.981919348
0.02,15.0000004,279.999999,0.0323291868,0.959455311
0.02,15.0000004,284.999998,0.0715425014,0.922892451
0.02,15.0000004,289.999997,0.124691404,0.87333715
0.02,15.0000004,294.999996,0.190165892,0.81229037
0.02,15.0000004,299.999995,0.265981615,0.741602123
0.02,15.0000004,304.999994,0.349839896,0.663414836
0.02,15.0000004,309.999993,0.439196706,0.580100179
0.02,15.0000004,314.999992,0.531339705,0.49418658
0.02,15.0000004,319.999991,0.62346983,0.408282965
0.02,15.0000004,324.99999,0.712787151,0.324999362
0.02,15.0000004,329.999989,0.796575308,0.246868178
0.02,15.0000004,334.999988,0.872284412,0.176266089
0.02,15.0000004,339.999987,0.937609076,0.115341954
0.02,15.0000004,345.000013,0.990560114,0.065950647
0.02,15.0000004,350.000012,1.0295229,0.0295970403
0.02,15.0000004,355.000011,1.05331016,0.00738825602
0.02,15.0000004,360.00001,1.06119609,6.26919245e-07
0.02,19.9999994,0,1.06104016,4.75562643e-07
0.02,19.9999994,4.99999985,1.05278063,0.0072346949
0.02,19.9999994,9.99999971,1.02861953,0.0284865387
0.02,19.9999994,15.0000004,0.989295363,0.0631052554
0.02,19.9999994,19.9999994,0.936009705,0.110031895
0.02,19.9999994,25.0000001,0.870390236,0.167832166
0.02,19.9999994,30.0000008,0.794439375,0.234740928
0.02,19.9999994,34.9999998,0.710473239,0.308716744
0.02,19.9999994,39.9999988,0.621049941,0.387504876
0.02,19.9999994,45.0000013,0.528891265,0.468706548
0.02,19.9999994,50.0000003,0.43679902,0.549852192
0.02,19.9999994,54.9999993,0.347569734,0.628476739
0.02,19.9999994,60.0000017,0.263910532,0.702194393
0.02,19.9999994,65.0000007,0.188356549,0.768770278
0.02,19.9999994,69.9999997,0.123195343,0.826188445
0.02,19.9999994,74.9999987,0.0703979954,0.872711658
0.02,19.9999994,79.9999977,0.03156057,0.90693295
0.02,19.9999994,84.9999967,0.00785642583,0.927818716
0.02,19.9999994,90.0000025,1.46815103e-06,0.934737563
0.02,19.9999994,95.0000015,0.0082329195,0.927480817
0.02,19.9999994,100.000001,0.0323022492,0.906267524
0.02,19.9999994,105,0.0714825541,0.871738672
0.02,19.9999994,109.999999,0.124590196,0.824937344
0.02,19.9999994,115.000004,0.190019906,0.767279088
0.02,19.9999994,120.000003,0.26579231,0.700508416
0.02,19.9999994,125.000002,0.349613369,0.626647174
0.02,19.9999994,130.000001,0.438943207,0.547934711
0.02,19.9999994,135,0.531071603,0.466759115
0.02,19.9999994,139.999999,0.623200953,0.385586798
0.02,19.9999994,144.999998,0.712530434,0.306886286
0.02,19.9999994,149.999997,0.796341121,0.233053803
0.02,19.9999994,154.999996,0.872079611,0.166339695
0.02,19.9999994,159.999995,0.9374367,0.108779557
0.02,19.9999994,164.999994,0.990417004,0.0621312298
0.02,19.9999994,169.999993,1.02940297,0.0278205685
0.02,19.9999994,175.000006,1.05320323,0.00689713331
0.02,19.9999994,180.000005,1.06108987,1.80091865e-06
0.02,19.9999994,185.000004,1.05282223,0.00734644337
0.02,19.9999994,190.000003,1.02865279,0.0287075974
0.02,19.9999994,195.000002,0.989320576,0.063433364
0.02,19.9999994,200.000001,0.936028004,0.110463627
0.02,19.9999994,205,0.870402217,0.168363094
0.02,19.9999994,209.999999,0.79444617,0.235365674
0.02,19.9999994,214.999998,0.710476577,0.309429169
0.02,19.9999994,219.999997,0.621051192,0.388298273
0.02,19.9999994,224.999996,0.528891444,0.469573468
0.02,19.9999994,230.000009,0.43679896,0.550785244
0.02,19.9999994,235.000008,0.347570628,0.629467726
0.02,19.9999994,240.000007,0.263912708,0.703235269
0.02,19.9999994,245.000006,0.18836014,0.769853115
0.02,19.9999994,250.000005,0.123200059,0.827305496
0.02,19.9999994,255.000004,0.0704032406,0.873854578
0.02,19.9999994,260.000003,0.031565398,0.908094406
0.02,19.9999994,265.000002,0.00785965566,0.928990543
0.02,19.9999994,270.000001,1.7599699e-06,0.93591243
0.02,19.9999994,275,0.00822885893,0.928651094
